,all_reviews,release_date,developer,game_details,languages,achievements,genre,mature_content,original_price
19766,73,"Apr 7, 2015","SmiteWorks USA, LLC","Multi-player,Co-op,Cross-Platform Multiplayer,Downloadable Content",['English'],,"Indie,RPG,Strategy",,29.99
19767,70,"Jun 23, 2015","CAPCOM Co., Ltd","Single-player,Downloadable Content","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese']",,Action,,1.49
19768,77,"Jul 16, 2015",Duckbridge,"Single-player,Steam Achievements,Full controller support",['English'],25.0,"Action,Adventure,Indie",,9.99
19769,76,"Apr 29, 2016",Fastermind Games,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support",['English'],9.0,"Adventure,Casual,Indie",,5.99
19770,78,"Aug 19, 2016",maasgdev,"Single-player,Steam Achievements",['English'],2.0,"Casual,Indie",,0.99
19771,75,"Nov 17, 2016",Invictus Games Ltd,"Single-player,Steam Achievements,Stats,Steam Leaderboards",['English'],13.0,"Action,Indie",,5.99
19772,70,"Dec 15, 2016",Up Multimedia,"Single-player,Partial Controller Support",['English'],,Adventure," Mature Content Description  The developers describe the content like this:  This Game may contain content not appropriate for all ages, or may not be appropriate for viewing at work: Nudity or Sexual Content, General Mature Content  ",14.99
19773,76,"Aug 26, 2016",PlayZilla.tk,"Single-player,Steam Achievements,Steam Trading Cards","['English', 'French', 'German', 'Simplified Chinese', 'Russian', 'Dutch', 'Polish']",5.0,"Adventure,Casual,Indie",,4.99
19774,77,"Sep 7, 2016",Devil's Dozen Games,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Stats",['English'],11.0,"Indie,Simulation,Strategy",,9.99
19775,74,"Jul 26, 2016",Just1337 Studio,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud",['English'],17.0,"Action,Adventure,Casual,Indie,Strategy",,4.99
19776,75,"Aug 12, 2016",DL Softworks,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud",['English'],26.0,"Action,Casual,Indie,Simulation,Strategy",,85.90
19777,70,"Sep 16, 2016",Large Visible Machine,"Single-player,Online Multi-Player,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Cloud,Steam Turn Notifications",['English'],14.0,Strategy,,9.99
19778,70,"Jul 11, 2017",Dragon Foundry,"Single-player,Multi-player,Online Multi-Player,Cross-Platform Multiplayer,Steam Trading Cards,In-App Purchases",['English'],,"Action,Free to Play,Indie,Massively Multiplayer,Strategy",,0 To Play
19780,72,"Feb 16, 2016",Incodra,"Single-player,Multi-player,Shared/Split Screen,Steam Achievements,Partial Controller Support,Steam Cloud","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Dutch', 'Japanese', 'Korean', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Portuguese - Brazil', 'Turkish']",30.0,"Action,Indie,Racing",,4.99
19781,72,"Jul 24, 2015",Flying Cafe for Semianimals,"Single-player,Downloadable Content,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Stats,Profile Features Limited 
									","['English', 'Russian', 'Ukrainian', 'Turkish', 'French']",,"Adventure,Indie",,4.99
19782,78,"Aug 4, 2015",Nicholas Mallory,"Single-player,Multi-player,Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Partial Controller Support,Includes level editor",['English'],9.0,"Action,Adventure,Casual,Indie",,1.99
19783,72,"Jun 30, 2015",Stephen Crabb,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","['English', 'German', 'Russian']",15.0,"Action,Indie",,0.99
19784,73,"Jul 9, 2015",Trion Worlds,"Multi-player,MMO,Co-op,Downloadable Content",['English'],,"Action,Adventure,Casual,Free to Play,Massively Multiplayer,RPG",,2.99
19787,76,"Mar 1, 2000",Anvil-Soft,"Single-player,Shared/Split Screen,Steam Trading Cards","['English', 'German']",,"Indie,Simulation",,4.99
19789,78,"Jul 6, 2015",Blaze Epic,"Single-player,Full controller support,Steam Trading Cards,Steam Cloud",['English'],,"Action,Adventure,Indie",,1.99
19790,74,"Jul 16, 2015",Astronomic Games,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support",['English'],36.0,"Adventure,Indie,RPG",,8.99
19791,72,"Jul 8, 2015",YFC games,"Single-player,Steam Achievements,Steam Leaderboards","['English', 'Traditional Chinese']",14.0,"Casual,Free to Play,Indie,Strategy",,0
19792,76,"Feb 10, 2011",WRF Studios,"Single-player,Steam Trading Cards",['English'],,"Adventure,Casual,Indie",,4.99
19793,71,"Jul 6, 2015",Cornbread Juice Games,"Single-player,Steam Trading Cards",['English'],,"Indie,RPG",,2.99
19795,70,"Jun 29, 2015",Proteus Pixel,"Single-player,Shared/Split Screen,Steam Achievements,Full controller support,Steam Leaderboards",['English'],50.0,"Action,Adventure,Indie",,nan
19796,79,"Sep 25, 2015",BTNcafe,"Single-player,Multi-player,Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","['English', 'Russian', 'Japanese', 'Traditional Chinese']",36.0,"Action,Casual,Indie,Strategy",,5.99
19797,72,"Dec 10, 2018",AlphaSoft LLC,"Multi-player,Online Multi-Player,MMO,Downloadable Content,Steam Achievements,Steam Cloud,Stats,Profile Features Limited 
									","['English', 'Russian', 'German', 'Simplified Chinese']",,"Action,Indie,Massively Multiplayer,RPG",,7.99
19803,73,"Jun 29, 2015",N-Tri Studio,"Single-player,Steam Achievements,Steam Cloud,Profile Features Limited 
									","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Dutch', 'Polish', 'Portuguese', 'Russian', 'Czech']",44.0,"Adventure,Casual,Indie",,9.99
19809,75,"May 6, 2015",Basecamp Games,"Single-player,Steam Achievements,Full controller support,Captions available",['English'],14.0,"Adventure,Indie",,4.99
19810,79,"Mar 24, 2015",Deep Silver Volition,"Single-player,Co-op,Downloadable Content,Full controller support,Steam Cloud","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Polish', 'Russian']",,Action,,1.99
19811,72,"Sep 29, 2014",Sarepta studio,"Single-player,Shared/Split Screen,Steam Achievements,Partial Controller Support","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Danish', 'Norwegian', 'Russian', 'Swedish']",6.0,"Adventure,Indie",,14.99
19813,76,"Aug 6, 2014","KOEI TECMO GAMES CO., LTD","Single-player,Shared/Split Screen,Downloadable Content,Steam Achievements,Partial Controller Support","['English', 'French', 'German']",,Action,,4.99
19815,75,"Nov 15, 2013",rokapublish,"Single-player,Steam Trading Cards,Steam Cloud","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Dutch', 'Portuguese', 'Swedish']",,Casual,,8.99
19817,76,"Jul 24, 2014",Rampant Games,"Single-player,Steam Achievements",['English'],28.0,"Indie,RPG",,11.99
19818,79,"Jul 28, 2014",DragonSix,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud",['English'],30.0,"Action,Indie",,6.99
19819,70,"Jul 3, 2014",OVERKILL - a Starbreeze Studio,"Single-player,Co-op,Downloadable Content,Steam Achievements,Steam Trading Cards,Partial Controller Support","['English', 'German', 'French', 'Italian', 'Spanish - Spain', 'Dutch', 'Russian']",,"Action,RPG",,nan
19820,78,"Jul 30, 2014",Screwy Lightbulb,"Single-player,Steam Trading Cards",['English'],,"Adventure,Casual",,8.99
19821,71,"Jan 27, 2015","Monolith Productions, Inc.,Feral Interactive (Mac),Feral Interactive (Linux","Single-player,Downloadable Content,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Polish', 'Portuguese - Brazil', 'Russian']",,"Action,Adventure",,0.99
19822,73,"Jan 14, 2016",Frere d'Arme,"Single-player,Full controller support,Includes level editor,Includes Source SDK","['English', 'French', 'Polish', 'German', 'Dutch']",,"Action,Free to Play,Indie",,0
19823,73,"Jul 21, 2014",Up Multimedia,"Single-player,Full controller support",['English'],,Adventure,,14.99
19825,70,"Nov 25, 2014",Anthony Case,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud",['English'],25.0,Indie,,2.99
19826,73,"Jan 15, 2015","Sledgehammer Games,Raven Software","Single-player,Multi-player,Downloadable Content,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards","['English', 'French', 'Italian', 'German', 'Spanish - Spain']",,Action,,2.99
19827,73,"Dec 9, 2014","Monolith Productions, Inc.,Feral Interactive (Mac),Feral Interactive (Linux","Single-player,Downloadable Content,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Polish', 'Portuguese - Brazil', 'Russian']",,"Action,Adventure",,0.99
19829,70,"Jan 7, 2015","Twistplay,Rodeo Games","Single-player,Downloadable Content,Steam Achievements,Steam Trading Cards,Profile Features Limited 
									","['English', 'French', 'Italian', 'German', 'Spanish - Spain']",,"RPG,Strategy",,nan
19832,76,"May 15, 2015",Serenity Forge,"Single-player,Steam Achievements,Steam Trading Cards,Includes level editor",['English'],55.0,"Action,Indie,Simulation",,9.99
19834,76,"Dec 11, 2014","Parody Games, LLC","Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Stats",['English'],25.0,"Indie,RPG,Simulation,Strategy",,4.99
19835,72,"Oct 29, 2015",Dovetail Games,"Single-player,Downloadable Content,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Steam Leaderboards","['English', 'French', 'German']",,Simulation,,19.99
19836,72,"Oct 7, 2015",Dovetail Games,"Single-player,Downloadable Content,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Steam Leaderboards","['English', 'French', 'German']",,Simulation,,19.99
19838,76,"Feb 13, 2015",Top3Line s.r.o,"Single-player,Steam Achievements,Steam Cloud,Steam Leaderboards","['English', 'French', 'Italian', 'German', 'Spanish - Spain']",20.0,"Action,Casual,Simulation",,4.99
19839,76,"Mar 10, 2016",From Earth Team,"Single-player,Steam Achievements,Captions available,Stats,Includes level editor,Includes Source SDK","['English', 'Finnish']",22.0,"Action,Adventure,Indie",,0
19840,76,"Aug 15, 2018",不公开,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud,Profile Features Limited 
									","['English', 'Simplified Chinese']",9.0,"Adventure,Casual,Indie,RPG,Simulation,Strategy",,4.99
19841,75,"Feb 25, 2015",Thoughtshelter Games,"Single-player,Multi-player,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards",['English'],49.0,"Indie,Strategy",,7.99
19842,77,"Aug 30, 2018",SignSine,"Single-player,Steam Achievements,Profile Features Limited 
									","['English', 'Russian']",4.0,"Action,Adventure,Free to Play,Indie",,0
19844,70,"Mar 7, 2016",Free Range Games,"Multi-player,Online Multi-Player,Steam Trading Cards,In-App Purchases,Steam Turn Notifications",['English'],,"Free to Play,Indie,RPG,Strategy,Early Access",,0 to Play
19846,79,"Jan 26, 2016",Daniel Wright,"Single-player,Partial Controller Support",['English'],,"Action,Indie,RPG",,9.99
19849,73,"Nov 4, 2016",Capitola VR,Single-player,['English'],,"Action,Casual,Indie",,2.99
19851,79,"Jun 28, 2016",Massive Entertainment,"Single-player,Multi-player,Co-op,Downloadable Content,Steam Trading Cards","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Czech', 'Dutch', 'Finnish', 'Hungarian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese - Brazil', 'Swedish', 'Traditional Chinese', 'Danish', 'Simplified Chinese', 'Russian']",,"Action,Adventure,RPG",,4.99
19852,70,"Nov 1, 2016",Iris Flight Simulation Software,"Single-player,Multi-player,Downloadable Content,Partial Controller Support",['English'],,Simulation,,24.99
19853,70,"Jul 5, 2018",Catness Game Studios,"Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Stats,Steam Leaderboards","['English', 'Spanish - Spain', 'Simplified Chinese', 'Russian', 'German', 'Portuguese']",27.0,"Action,Indie",,9.99
19854,72,"May 2, 2016",Space Wedgie,"Single-player,Multi-player,Steam Trading Cards",['English'],,"Adventure,Casual,Indie",,1.99
19856,73,"Dec 29, 2016",Rayhouse Productions,"Single-player,Steam Achievements,Steam Trading Cards",['English'],26.0,"Action,Adventure,Indie"," Mature Content Description  The developers describe the content like this:  This Game may contain content not appropriate for all ages, or may not be appropriate for viewing at work: General Mature Content  ",4.99
19857,79,"Sep 27, 2016",Lichthund,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Stats,Steam Leaderboards","['English', 'French', 'Italian', 'German', 'Spanish - Spain']",20.0,"Action,Adventure,Indie",,9.99
19859,75,"Jan 31, 2017",Ubisoft Montreal,"Single-player,Multi-player,Co-op,Downloadable Content,Steam Trading Cards,Partial Controller Support","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Czech', 'Dutch', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Traditional Chinese']",,Action,,7.99
19860,79,"Feb 15, 2016",Guru Games,"Single-player,Partial Controller Support",['English'],,"Action,Adventure,Free to Play,Indie",,0
19862,72,"Jan 22, 2016",Oointah,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Steam Leaderboards,Includes level editor",['English'],17.0,"Action,Indie,Strategy",,9.99
19863,72,"Jul 4, 2016",Alkame Games,Single-player,['English'],,"Action,Indie",,9.99
19864,70,"Mar 13, 2016",NEW AUDIO TECHNOLOGY,,['English'],,"Audio Production,Utilities",,9.99
19866,76,"Sep 26, 2017",Toni Domínguez,"Single-player,Partial Controller Support","['English', 'Spanish - Spain']",,"Adventure,Casual,Free to Play,Indie,Simulation",,0
19867,70,"Nov 28, 2015",Performance Simulations,"Single-player,Steam Leaderboards",['English'],,"Indie,Simulation",,24.99
19868,75,"Jul 21, 2016",John Wizard,"Single-player,Steam Trading Cards,Partial Controller Support",['English'],,"Adventure,Indie,RPG,Strategy",,2.99
19871,78,"Dec 21, 2015",Evan (Solidplasma) Peiperl,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Includes level editor",['English'],13.0,"Action,Indie",,2.99
19873,76,"Apr 1, 2012",Lazy Turtle Games,"Single-player,Steam Achievements",['English'],27.0,"Adventure,Casual",,6.99
19874,79,"Nov 3, 2015",Extrokold Games,"Single-player,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Leaderboards","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Dutch', 'Japanese', 'Portuguese']",8.0,"Action,Indie",,1.99
19876,73,"Aug 28, 2015",Labyrinthine,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud",['English'],6.0,"Action,Adventure,Indie,RPG",,1.99
19877,70,"Mar 25, 2016",One Man Left Studios,"Single-player,Multi-player,Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Cloud,Steam Turn Notifications",['English'],27.0,"Indie,Strategy",,9.99
19879,75,"Nov 14, 2016",3 Fright,"Single-player,Multi-player,Local Multi-Player,Shared/Split Screen,Steam Achievements,Full controller support",['English'],50.0,"Action,Indie",,9.99
19880,73,"Apr 5, 2016",IKEA Communications AB,Single-player,['English'],,Free to Play,,0
19881,75,"Mar 4, 2016",isTom Games Kft,"Single-player,Steam Achievements,Steam Trading Cards,Steam Leaderboards",['English'],15.0,"Casual,Indie,Simulation",,2.99
19883,79,"Apr 5, 2016",Flatbox Studios,"Single-player,Steam Achievements,Steam Trading Cards,Steam Leaderboards",['English'],14.0,"Action,Simulation",,0
19887,72,"Jun 8, 2017",Oasis VR,"Single-player,Multi-player,Co-op,Cross-Platform Multiplayer,Full controller support",['English'],,"Action,Indie,Racing",,9.99
19888,77,"May 30, 2017",Other Ocean Interactive,Single-player,"['English', 'French']",24.0,"Casual,Indie,Simulation",,24.99
19889,70,"Jan 19, 2017",10tons Ltd,"Single-player,Downloadable Content,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Includes level editor",['English'],,"Action,Adventure,Indie,RPG",,4.99
19890,72,"Dec 23, 2016",Accenthd,Single-player,"['English', 'Simplified Chinese']",,"Action,Adventure,Casual",,7.99
19891,79,"Mar 29, 2018",Raptor Claw Games,Single-player,['English'],,"Casual,Indie,RPG,Simulation",,6.99
19894,78,"Dec 20, 2016",Freejam,"Single-player,Multi-player,Online Multi-Player,MMO,Online Co-op,Downloadable Content,Steam Trading Cards,In-App Purchases","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese']",,"Action,Free to Play,Indie,Massively Multiplayer,RPG,Simulation",,44.99
19895,78,"Dec 1, 2017",Firstborn Games,"Single-player,Steam Achievements,Steam Trading Cards",['English'],1.0,"Action,Free to Play,Indie,Strategy",,0
19896,70,"Jan 31, 2017",Happy Hobgoblin,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","['English', 'Finnish']",12.0,Strategy,,3.99
19897,70,"Jan 28, 2016",UFO Crash Games,"Single-player,Local Multi-Player,Local Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards","['English', 'French', 'Italian', 'German', 'Spanish - Spain']",10.0,"Action,Casual,Indie",,5.99
19900,76,"Dec 20, 2016",PixelMouse,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards",['English'],44.0,"Action,Adventure,Casual,Indie",,0.99
19901,75,"Feb 14, 2017",Oneiric Entertainment LLC,Single-player,['English'],,"Action,Adventure,Indie,RPG",,0 To Play
19904,70,"Feb 15, 2017",Rumata Lab,"Single-player,Steam Achievements,Steam Trading Cards",['English'],16.0,"Action,Casual,Indie",,3.99
19906,70,"Nov 30, 2017",Oxeye Game Studio,"Single-player,Online Multi-Player",['English'],,"Action,Indie",,6.99
19907,72,"Mar 8, 2017",Just1337 Studio,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud",['English'],96.0,"Action,Casual,Indie",,4.99
19909,72,"Feb 15, 2017",GSC Game World,"Single-player,Multi-player,Online Multi-Player,Co-op,Online Co-op,Downloadable Content,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Includes level editor,Commentary available","['English', 'French', 'German', 'Czech', 'Polish', 'Russian', 'Ukrainian', 'Italian', 'Spanish - Spain', 'Portuguese', 'Portuguese - Brazil', 'Turkish']",,Strategy,,4.99
19910,71,"Apr 20, 2017",Rank17,"Single-player,Multi-player,Online Multi-Player,Co-op,Online Co-op,Steam Leaderboards",['English'],127.0,"Action,Adventure,Casual,Simulation",,14.99
19911,76,"Apr 26, 2017",Elmwood Game Studios,Single-player,['English'],20.0,"Adventure,Casual,Simulation,Strategy",,0.99
19912,78,"May 28, 2016",Novel Tea Games,"Single-player,Steam Achievements",['English'],9.0,"Casual,Indie,Simulation",,0
19913,77,"Jun 2, 2016",YFC games,"Single-player,In-App Purchases,Steam Leaderboards","['English', 'Simplified Chinese', 'Traditional Chinese']",,"Casual,Free to Play,Indie,Strategy",,0 To Play
19914,72,"Jun 9, 2016",vikingfabian.com,"Single-player,Multi-player,Local Multi-Player,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards",['English'],12.0,"Casual,Indie,Strategy",,1.99
19915,70,"Aug 17, 2016","Magisterion,3Dever","Multi-player,Co-op,Full controller support",['English'],,"Action,Indie"," Mature Content Description  The developers describe the content like this:  This Game may contain content not appropriate for all ages, or may not be appropriate for viewing at work: General Mature Content  ",nan
19916,79,"Sep 21, 2016",BigCheeseGames,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","['English', 'Japanese', 'Simplified Chinese', 'Traditional Chinese', 'French', 'Italian', 'German', 'Danish', 'Ukrainian', 'Russian', 'Bulgarian', 'Hungarian', 'Turkish', 'Greek', 'Norwegian', 'Czech', 'Polish', 'Swedish', 'Romanian', 'Finnish', 'Dutch', 'Portuguese']",25.0,"Adventure,Casual,Indie",,6.99
19917,78,"Nov 16, 2018",Vidas Salavejus,"Single-player,Profile Features Limited 
									",['English'],,Indie," Mature Content Description  The developers describe the content like this:  The game has a lot of violent and gore visuals, also a very small amount of suggestive nudity.  ",9.99
19918,78,"Dec 15, 2016",Crystice Softworks,"Steam Achievements,Steam Trading Cards,Steam Cloud,Stats,Includes level editor","['English', 'Polish', 'Russian', 'Ukrainian']",18.0,"Animation & Modeling,Design & Illustration,Utilities",,14.99
19919,74,"Jul 29, 2016",HFM Games,"Single-player,Steam Trading Cards","['English', 'Russian']",,"Action,Indie",,0.99
19920,77,"Jul 29, 2016",Pedro Zea,"Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Co-op,Online Co-op,Local Co-op,Shared/Split Screen,Steam Trading Cards,Partial Controller Support",['English'],,"Action,Adventure,Indie,RPG,Simulation,Strategy,Early Access",,6.99
19921,77,"Mar 10, 2017",Discovering VR,"Single-player,Partial Controller Support",['English'],,"Casual,Indie,Simulation",,9.99
19922,77,"Aug 25, 2016",Fishing Planet LLC,"Single-player,Multi-player,Online Multi-Player,MMO,Co-op,Online Co-op,Cross-Platform Multiplayer,Downloadable Content,Full controller support","['English', 'French', 'German', 'Polish', 'Russian', 'Ukrainian', 'Spanish - Spain', 'Dutch', 'Portuguese - Brazil', 'Simplified Chinese']",,"Free to Play,Massively Multiplayer,Simulation,Sports",,9.99
19923,72,"Aug 25, 2016",Fishing Planet LLC,"Single-player,Multi-player,Online Multi-Player,MMO,Co-op,Online Co-op,Cross-Platform Multiplayer,Downloadable Content,Full controller support","['English', 'French', 'German', 'Polish', 'Russian', 'Ukrainian', 'Spanish - Spain', 'Dutch', 'Portuguese - Brazil', 'Simplified Chinese']",,"Free to Play,Massively Multiplayer,Simulation,Sports",,19.99
19930,71,"Jun 9, 2016",StormBringer Studios,"Single-player,Multi-player,Online Multi-Player,Co-op,Online Co-op,Steam Achievements,Steam Leaderboards",['English'],17.0,"Action,Adventure,Indie,RPG",,9.99
19931,78,"Dec 8, 2016",Flynn's Arcade,"Single-player,Steam Trading Cards",['English'],,"Action,Casual,Indie",,4.99
19934,79,"Feb 11, 2019",T.D,"Single-player,Profile Features Limited 
									","['English', 'Japanese', 'Simplified Chinese']",,"Free to Play,RPG,Early Access"," Mature Content Description  The developers describe the content like this:  This Game may contain content not appropriate for all ages, or may not be appropriate for viewing at work: Nudity or Sexual Content, General Mature Content  ",0
19935,76,"Aug 29, 2017",Mister Anderson,Single-player,['English'],,"Action,Indie",,4.99
19936,73,"Mar 31, 2017",Goatee Games,"Single-player,Steam Achievements,Steam Leaderboards",['English'],29.0,"Indie,Simulation,Strategy",,7.99
19938,70,"Feb 28, 2019",Protoria Studios,"Single-player,Multi-player,Online Multi-Player,Steam Cloud,Profile Features Limited 
									",['English'],,"Casual,Free to Play,Indie,Simulation",,0 To Play
19939,72,"Sep 9, 2018",PixelKiln,"Single-player,Profile Features Limited 
									",['English'],,"Action,Adventure,Casual,Free to Play,Indie",,0
19940,75,"Jul 25, 2018","Ducat,Zimogor","Single-player,Partial Controller Support,Profile Features Limited 
									","['English', 'Russian', 'French', 'Italian', 'German', 'Spanish - Spain', 'Simplified Chinese', 'Korean', 'Portuguese', 'Japanese']",,"Action,Adventure,Indie,RPG",,2.99
19941,76,"Mar 14, 2019",RewindApp,"Single-player,Profile Features Limited 
									",['English'],,"Casual,Indie,Strategy",,0.99
19944,75,"Jan 29, 2019",Wrestler,"Single-player,Profile Features Limited 
									",['English'],,"Adventure,Casual,Free to Play,Indie,Simulation",,0
19945,75,"May 20, 2016",Mega Boss Game Studio,"Single-player,Full controller support,Steam Trading Cards",['English'],,"Action,Adventure,Indie,Strategy",,0.99
19946,77,"Jan 31, 2019",Owl Tribe Entertainment,"Single-player,Multi-player,Online Multi-Player,Co-op,Online Co-op,Steam Leaderboards,Profile Features Limited 
									",['English'],,"Action,Adventure,Casual,Free to Play,Early Access",,0 To Play
19947,76,"Jun 3, 2016",rkd.zone,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Leaderboards",['English'],20.0,"Casual,Indie,Racing,Simulation",,2.99
19948,77,"Aug 26, 2016","Tribe Tea,Stas Shostak,Evgeniy Yudin,Alexzander Protasenya,Ruslan Viter","Single-player,Steam Achievements,Steam Trading Cards,Steam Leaderboards","['English', 'Russian', 'French', 'Spanish - Spain', 'Portuguese', 'Ukrainian', 'Simplified Chinese']",14.0,"Action,Adventure,Indie",,5.99
19949,73,"Jun 10, 2016",Andrade Games,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support","['English', 'French', 'German', 'Spanish - Spain', 'Dutch', 'Portuguese - Brazil', 'Simplified Chinese', 'Romanian']",21.0,"Action,Indie",,4.99
19950,75,"Aug 22, 2016","VisualPath,IndieVision Studio","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud",['English'],12.0,"Adventure,Indie,RPG",,9.99
19951,74,"Mar 17, 2016",Electric Games,Single-player,['English'],,Strategy,,29.99
19952,78,"Apr 8, 2016",Cleverweek,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud",['English'],4.0,"Casual,Indie",,2.99
19953,75,"Mar 21, 2016",Kerberos Productions Inc,"Single-player,Downloadable Content,Steam Achievements,Full controller support,Steam Trading Cards",['English'],,"Casual,Indie,RPG,Strategy",,1.99
19954,72,"Jun 10, 2016",Fighting Games,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support","['English', 'Portuguese', 'Russian', 'Turkish']",48.0,"Action,Indie",,2.99
19955,79,"Aug 5, 2016",WolfgangIs,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","['English', 'Russian']",15.0,"Action,Adventure,Casual,Indie,RPG,Simulation,Strategy",,3.99
19956,72,"Mar 20, 2017",3D2 Entertainment,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","['English', 'Spanish - Spain', 'Russian', 'Italian', 'Turkish', 'French']",33.0,"Adventure,Indie",,4.99
19957,71,"May 24, 2016",Anatoliy Loginovskikh,"Single-player,Steam Achievements,Steam Trading Cards",['English'],18.0,"Action,Indie,Strategy",,3.99
19958,73,"Oct 16, 1993",LucasArts,"Single-player,Partial Controller Support,Steam Cloud",['English'],,"Action,Simulation",,9.99
19959,73,"Apr 27, 2016",Tayfun Tuna,Single-player,"['English', 'Turkish', 'Russian', 'Portuguese - Brazil', 'Spanish - Spain', 'Ukrainian', 'Korean']",,"Adventure,Casual,Indie,RPG",,3.99
19960,78,"Jul 20, 2017",Ascanio Entertainment,"Online Multi-Player,Steam Achievements,Full controller support,Steam Trading Cards,In-App Purchases",['English'],45.0,"Action,Indie,RPG",,0 to Play
19962,72,"Nov 18, 2016",Big Red Planet,"Single-player,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards",['English'],70.0,"Action,Indie,Strategy,Early Access",,4.99
19965,70,"Jan 19, 2017",AO2Game,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","['English', 'Russian']",11.0,"Adventure,Indie",,2.99
19967,71,"Nov 1, 2018",Lotte|EoD,"Single-player,Multi-player,Online Multi-Player,Co-op,Online Co-op,Cross-Platform Multiplayer,Partial Controller Support","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Russian', 'Simplified Chinese']",,"Action,Adventure,Casual,Indie,Massively Multiplayer,Simulation,Strategy",,9.99
19968,76,"Jul 24, 2018",NLB project,"Single-player,Steam Achievements,Steam Cloud,Profile Features Limited 
									","['English', 'Russian']",40.0,"Adventure,Indie",,0 To Play
